image,class,x1,y1,x2,y2
0049e5b8-725e21a0.jpg,car,522.112317,409.724858,541.012312,429.974849
0049e5b8-725e21a0.jpg,car,600.41229,412.424856,611.212285,424.574851
0049e5b8-725e21a0.jpg,car,604.462288,411.074856,632.812279,436.724847
0049e5b8-725e21a0.jpg,car,294.637399,408.374857,306.787395,420.524853
0049e5b8-725e21a0.jpg,car,239.287417,411.074856,263.587409,421.874852
0049e5b8-725e21a0.jpg,car,90.449966,412.424856,110.699959,427.27485
0049e5b8-725e21a0.jpg,car,385.289857,396.629865,491.93982,477.629837
0049e5b8-725e21a0.jpg,car,539.999811,393.929865,593.999792,449.279847
0049e5b8-725e21a0.jpg,car,630.449779,414.179859,672.299765,447.929847
0049e5b8-725e21a0.jpg,car,683.099761,411.47986,731.699744,443.879849
0081e27b-17bf4a9e.jpg,car,334.12477,285.609179,357.749752,295.734172
0081e27b-17bf4a9e.jpg,car,298.687296,287.296677,334.124771,297.421672
0081e27b-17bf4a9e.jpg,car,253.124826,285.609179,295.312297,295.734172
0081e27b-17bf4a9e.jpg,car,389.812233,288.984177,404.999723,297.421671
0081e27b-17bf4a9e.jpg,car,408.374719,287.296677,423.56221,295.734172
0081e27b-17bf4a9e.jpg,car,437.0622,288.984177,450.56219,295.734172
0081e27b-17bf4a9e.jpg,car,467.437178,287.296677,482.624669,292.359175
0081e27b-17bf4a9e.jpg,car,484.312167,288.984177,502.874653,295.734172
0081e27b-17bf4a9e.jpg,car,728.999499,285.609179,742.49949,294.046674
0081e27b-17bf4a9e.jpg,car,717.187007,285.609179,730.686999,294.046674
0081e27b-17bf4a9e.jpg,car,696.937021,285.609179,710.437011,294.046674
0081e27b-17bf4a9e.jpg,car,685.124529,285.609179,698.624522,294.046674
0081e27b-17bf4a9e.jpg,car,673.312038,285.609179,688.499529,294.046674
0081e27b-17bf4a9e.jpg,car,659.812046,287.296677,674.999536,297.421672
0081e27b-17bf4a9e.jpg,car,647.999555,287.296677,661.499544,297.421672
0081e27b-17bf4a9e.jpg,car,631.124566,287.296677,647.999555,297.421672
0081e27b-17bf4a9e.jpg,car,104.624927,285.187304,192.374868,322.312278
0081e27b-17bf4a9e.jpg,car,349.31226,288.562301,394.874728,312.187284
0081e27b-17bf4a9e.jpg,car,534.937132,280.0467470956131,631.124566,359.437253
0081e27b-17bf4a9e.jpg,truck,167.062386,266.624819,244.687333,300.374794
00beeb02-50440dcd.jpg,car,617.008836,299.66806,629.751148,312.474386
00beeb02-50440dcd.jpg,car,623.347984,294.545531,641.276842,313.755023
00beeb02-50440dcd.jpg,car,404.359785,311.193755,424.998217,325.280714
00d4b6b7-7d0a60bf.jpg,car,43.080353,371.568043,95.584535,386.376914
00d4b6b7-7d0a60bf.jpg,car,28.271482,378.299349,90.199489,406.570831
00d4b6b7-7d0a60bf.jpg,car,382.338132,371.837293,395.800744,383.953644
00d4b6b7-7d0a60bf.jpg,car,461.767533,371.837293,486.000232,381.26112
00d4b6b7-7d0a60bf.jpg,car,648.897816,371.837293,661.014164,379.914858
00d4b6b7-7d0a60bf.jpg,car,644.859033,382.60738,679.861819,409.532599
00d4b6b7-7d0a60bf.jpg,car,638.666223,374.529814,648.09005,385.299904
00d4b6b7-7d0a60bf.jpg,car,503.91582071503166,364.2080532693136,648.897816,477.922665
01118704-2d838d7f.jpg,bus,455.772799,374.379187,505.364658,396.420014
01118704-2d838d7f.jpg,car,52.425678,375.008922,114.139992,415.784451
01118704-2d838d7f.jpg,car,121.854282,354.070136,303.691098,492.927342
01118704-2d838d7f.jpg,car,299.282933,363.988508,353.282959,408.07016
0115917e-14907a6a.jpg,car,636.419088,339.524761,644.856582,354.71225
0115917e-14907a6a.jpg,car,644.856583,336.149765,660.044072,351.337253
0115917e-14907a6a.jpg,car,492.981687,339.524761,519.981669,354.71225
0115917e-14907a6a.jpg,car,482.856694,336.149765,496.356685,349.649756
0115917e-14907a6a.jpg,car,415.356741,339.524761,440.669222,358.087248
0115917e-14907a6a.jpg,truck,341.106792,314.21228,390.044259,361.462246
