[INFO] Loading model: C:\Users\amit\Project_digital_image_processing__Amit_Alon\Amit_project\yolov8n.pt ...
[baseline] 300 clean images (scored against real GT)
  [0049e5b8-725e21a0.jpg] found 6 vehicles (cars=5, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=5.9001s
  [0081e27b-17bf4a9e.jpg] found 4 vehicles (cars=4, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0988s
  [00beeb02-50440dcd.jpg] found 0 vehicles (cars=0, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0676s
  [00d4b6b7-7d0a60bf.jpg] found 2 vehicles (cars=2, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0663s
  [01118704-2d838d7f.jpg] found 3 vehicles (cars=3, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0721s
  [0115917e-14907a6a.jpg] found 9 vehicles (cars=7, trucks=2, buses=0, motorcycles=0, bicycles=0) | time=0.0699s
  [02188a44-65ad27f3.jpg] found 10 vehicles (cars=10, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0998s
  [02494b7b-079febf8.jpg] found 2 vehicles (cars=2, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0638s
  [029ffd50-dc944dba.jpg] found 1 vehicles (cars=1, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0672s
  [0464a98b-860229d5.jpg] found 3 vehicles (cars=3, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0631s
  [051aadb7-51aad566.jpg] found 2 vehicles (cars=0, trucks=2, buses=0, motorcycles=0, bicycles=0) | time=0.1043s
  [051aadb7-e953bc4d.jpg] found 5 vehicles (cars=4, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=0.0977s
  [05743a9b-747658e7.jpg] found 4 vehicles (cars=2, trucks=1, buses=1, motorcycles=0, bicycles=0) | time=0.0694s
  [057af272-6f700aef.jpg] found 2 vehicles (cars=2, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.1209s
  [05d62296-30c620d5.jpg] found 7 vehicles (cars=7, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.115s
  [05e5a68e-f0e05a42.jpg] found 11 vehicles (cars=10, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=0.0843s
  [05fa6494-8f436d04.jpg] found 4 vehicles (cars=3, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=0.0702s
  [060039d9-5218402b.jpg] found 0 vehicles (cars=0, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0772s
  [064aa0d6-f75ff4d5.jpg] found 7 vehicles (cars=6, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=0.076s
  [07de5062-ddddcbd7.jpg] found 4 vehicles (cars=3, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=0.0774s
  [088351d1-30833ddc.jpg] found 13 vehicles (cars=13, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0758s
  [08a49c01-675d3899.jpg] found 0 vehicles (cars=0, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0869s
  [08d4285a-4a25b9b6.jpg] found 3 vehicles (cars=2, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=0.0821s
