[INFO] Loading model: yolov8n_finetuned.pt ...
[baseline] 300 clean images (scored against real GT)
  [0049e5b8-725e21a0.jpg] found 7 vehicles (cars=7, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=5.0607s
  [0081e27b-17bf4a9e.jpg] found 7 vehicles (cars=7, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0712s
  [00beeb02-50440dcd.jpg] found 1 vehicles (cars=1, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0689s
  [00d4b6b7-7d0a60bf.jpg] found 3 vehicles (cars=3, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0875s
  [01118704-2d838d7f.jpg] found 3 vehicles (cars=3, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0665s
  [0115917e-14907a6a.jpg] found 13 vehicles (cars=13, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.1221s
  [02188a44-65ad27f3.jpg] found 12 vehicles (cars=12, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.1463s
  [02494b7b-079febf8.jpg] found 3 vehicles (cars=3, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.1002s
  [029ffd50-dc944dba.jpg] found 2 vehicles (cars=2, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.093s
  [0464a98b-860229d5.jpg] found 5 vehicles (cars=5, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0718s
  [051aadb7-51aad566.jpg] found 5 vehicles (cars=4, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=0.0673s
  [051aadb7-e953bc4d.jpg] found 12 vehicles (cars=10, trucks=1, buses=1, motorcycles=0, bicycles=0) | time=0.0649s
  [05743a9b-747658e7.jpg] found 10 vehicles (cars=9, trucks=1, buses=0, motorcycles=0, bicycles=0) | time=0.0693s
  [057af272-6f700aef.jpg] found 5 vehicles (cars=5, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0705s
  [05d62296-30c620d5.jpg] found 5 vehicles (cars=5, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0835s
  [05e5a68e-f0e05a42.jpg] found 16 vehicles (cars=16, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.0854s
  [05fa6494-8f436d04.jpg] found 8 vehicles (cars=8, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.1318s
  [060039d9-5218402b.jpg] found 0 vehicles (cars=0, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.1211s
  [064aa0d6-f75ff4d5.jpg] found 10 vehicles (cars=10, trucks=0, buses=0, motorcycles=0, bicycles=0) | time=0.1531s
